"city","year","weekofyear","total_cases"
"sj",2008,18,58
"sj",2008,19,55
"sj",2008,20,65
"sj",2008,21,74
"sj",2008,22,66
"sj",2008,23,66
"sj",2008,24,58
"sj",2008,25,67
"sj",2008,26,64
"sj",2008,27,61
"sj",2008,28,59
"sj",2008,29,66
"sj",2008,30,62
"sj",2008,31,68
"sj",2008,32,55
"sj",2008,33,63
"sj",2008,34,62
"sj",2008,35,58
"sj",2008,36,60
"sj",2008,37,53
"sj",2008,38,54
"sj",2008,39,51
"sj",2008,40,56
"sj",2008,41,60
"sj",2008,42,52
"sj",2008,43,53
"sj",2008,44,61
"sj",2008,45,54
"sj",2008,46,56
"sj",2008,47,53
"sj",2008,48,56
"sj",2008,49,61
"sj",2008,50,59
"sj",2008,51,59
"sj",2008,52,58
"sj",2009,1,58
"sj",2009,2,58
"sj",2009,3,57
"sj",2009,4,56
"sj",2009,5,55
"sj",2009,6,56
"sj",2009,7,58
"sj",2009,8,61
"sj",2009,9,61
"sj",2009,10,62
"sj",2009,11,66
"sj",2009,12,67
"sj",2009,13,62
"sj",2009,14,66
"sj",2009,15,64
"sj",2009,16,68
"sj",2009,17,68
"sj",2009,18,64
"sj",2009,19,63
"sj",2009,20,56
"sj",2009,21,55
"sj",2009,22,54
"sj",2009,23,61
"sj",2009,24,61
"sj",2009,25,60
"sj",2009,26,69
"sj",2009,27,76
"sj",2009,28,67
"sj",2009,29,66
"sj",2009,30,65
"sj",2009,31,66
"sj",2009,32,68
"sj",2009,33,62
"sj",2009,34,62
"sj",2009,35,65
"sj",2009,36,70
"sj",2009,37,58
"sj",2009,38,66
"sj",2009,39,63
"sj",2009,40,64
"sj",2009,41,67
"sj",2009,42,64
"sj",2009,43,61
"sj",2009,44,70
"sj",2009,45,66
"sj",2009,46,55
"sj",2009,47,56
"sj",2009,48,51
"sj",2009,49,55
"sj",2009,50,57
"sj",2009,51,54
"sj",2009,52,58
"sj",2010,53,56
"sj",2010,1,56
"sj",2010,2,52
"sj",2010,3,44
"sj",2010,4,50
"sj",2010,5,56
"sj",2010,6,64
"sj",2010,7,58
"sj",2010,8,61
"sj",2010,9,58
"sj",2010,10,53
"sj",2010,11,56
"sj",2010,12,63
"sj",2010,13,64
"sj",2010,14,68
"sj",2010,15,62
"sj",2010,16,55
"sj",2010,17,54
"sj",2010,18,62
"sj",2010,19,55
"sj",2010,20,57
"sj",2010,21,58
"sj",2010,22,51
"sj",2010,23,57
"sj",2010,24,58
"sj",2010,25,48
"sj",2010,26,46
"sj",2010,27,56
"sj",2010,28,57
"sj",2010,29,50
"sj",2010,30,46
"sj",2010,31,58
"sj",2010,32,61
"sj",2010,33,54
"sj",2010,34,59
"sj",2010,35,56
"sj",2010,36,57
"sj",2010,37,52
"sj",2010,38,57
"sj",2010,39,52
"sj",2010,40,52
"sj",2010,41,51
"sj",2010,42,55
"sj",2010,43,62
"sj",2010,44,59
"sj",2010,45,53
"sj",2010,46,54
"sj",2010,47,62
"sj",2010,48,60
"sj",2010,49,65
"sj",2010,50,53
"sj",2010,51,52
"sj",2011,52,58
